central_pressurec2,central_energy_densityc2,central_baryon_density,central_cs2c2,M,R,Lambda,I,Mb
1.208077193100927979e+12,1.645686194908510625e+14,1.627297000604981250e+14,1.587789476349306395e-02,1.017537535007885102e-01,7.103368179458844622e+01,3.500524890694183826e+09,7.452240381621644261e-02,1.022079068270485003e-01
1.238250449379863770e+12,1.664536752380383750e+14,1.645799677613709062e+14,1.619436390624974520e-02,1.025259230995209658e-01,6.691176124335621012e+01,2.884658572424332619e+09,7.278516416803494649e-02,1.029882122261105426e-01
1.269177320907620850e+12,1.683481884669865625e+14,1.664391836470065312e+14,1.652751820914851594e-02,1.033347144318070288e-01,6.322862837551614490e+01,2.174563735687338352e+09,7.140114178184998883e-02,1.038058524542647826e-01
1.300876630178464355e+12,1.702411688150179375e+14,1.682964750272868125e+14,1.687955041006224469e-02,1.041706224539543785e-01,5.994988215919459407e+01,1.563699128391240835e+09,7.028765260374085500e-02,1.046511638335830274e-01
1.333367669802265869e+12,1.721442595184405000e+14,1.701633704973540312e+14,1.724855709195789386e-02,1.050309374208464180e-01,5.689210203793385290e+01,1.096399384976855993e+09,6.928115712794963299e-02,1.055214303983576102e-01
1.366670214246236572e+12,1.740566905674240312e+14,1.720391070990653438e+14,1.763570272845081319e-02,1.059317295994356006e-01,5.420825016260523910e+01,9.842576492082282305e+08,6.859200825378995725e-02,1.064327245325285970e-01
1.400804531869923828e+12,1.759776246440491250e+14,1.739228557994921250e+14,1.804227454450993418e-02,1.068525539282940140e-01,5.169000022604515010e+01,7.576058400961658955e+08,6.791067611492038192e-02,1.073646236782256763e-01
1.435791397260796631e+12,1.778881227693731250e+14,1.757958964408269062e+14,1.847299029191250969e-02,1.078124880934300117e-01,4.938532279048133233e+01,5.798552291624823809e+08,6.740640130606959102e-02,1.083362020997990643e-01
1.508408477011474121e+12,1.817245841439395000e+14,1.795561204819033438e+14,1.939855750818992100e-02,1.097968520175099660e-01,4.539761098691699459e+01,4.172650170878090262e+08,6.674266473829877644e-02,1.103453217876684128e-01
1.584698263174501221e+12,1.855624030903156875e+14,1.833161781093227500e+14,2.041768253895253488e-02,1.119153138065057534e-01,4.196807956907986181e+01,3.088375017937107682e+08,6.640404938169364168e-02,1.124910981879646138e-01
1.664846507813134033e+12,1.893823478170093125e+14,1.870571123790797500e+14,2.153857972687804601e-02,1.141595202756376937e-01,3.903788360368156418e+01,2.428497635946274102e+08,6.640939188394409665e-02,1.147654605880035067e-01
1.749048357650895508e+12,1.931925291424770938e+14,1.907869508180917500e+14,2.275597817797454445e-02,1.165215647652217412e-01,3.642660723189425198e+01,1.879257744624104500e+08,6.647522114538827187e-02,1.171603490511945594e-01
1.837508829219145508e+12,1.969675757976219688e+14,1.944806706699890938e+14,2.406235577717166438e-02,1.190364175679385211e-01,3.419914072718985665e+01,1.548412370879499018e+08,6.698468631952611552e-02,1.197111007253377768e-01
1.930443308035878418e+12,2.007322495047985938e+14,1.981626740021202500e+14,2.543699706155011855e-02,1.216948900868919520e-01,3.218570386219125368e+01,1.247033790325983614e+08,6.756981336954871742e-02,1.224086060068100695e-01
2.028078073031160645e+12,2.044594578248495312e+14,2.018061869967744688e+14,2.684906827736818768e-02,1.244958017092929886e-01,3.043868040587921442e+01,1.030318177300415635e+08,6.839963301458616696e-02,1.252522596958199619e-01
2.130650847496083008e+12,2.081908091487155312e+14,2.054521430103090000e+14,2.827200114430264768e-02,1.274633404159940253e-01,2.883883024383997906e+01,8.659523954720622301e+07,6.931993444027774454e-02,1.282665603125466569e-01
2.238411377896706055e+12,2.119013623053825625e+14,2.090757785653920312e+14,2.965100767661683900e-02,1.305951053471298418e-01,2.740528514780466551e+01,7.277426355691887438e+07,7.040663605831787297e-02,1.314492289914587775e-01
2.351622041962293457e+12,2.156415938561701250e+14,2.127266933427298438e+14,3.097494916183621619e-02,1.339060661366040794e-01,2.613496837066655232e+01,6.156376428145878762e+07,7.174534560610737466e-02,1.348160238321146343e-01
2.470558487528423828e+12,2.193986711781955312e+14,2.163919273003380000e+14,3.219374717538393132e-02,1.373866276883562998e-01,2.496989559101933409e+01,5.228479321622617543e+07,7.316388833295724148e-02,1.383573585019640395e-01
2.595510303690460449e+12,2.232152431194255938e+14,2.201133118221374688e+14,3.331951580857107215e-02,1.410706182530526154e-01,2.391904770650418044e+01,4.419314014045900851e+07,7.477760421952206471e-02,1.421076649458797581e-01
2.726781725901496582e+12,2.270902762893134688e+14,2.238894183309631250e+14,3.432711879544282640e-02,1.449261771638689356e-01,2.296980757485713553e+01,3.773684291885337234e+07,7.656258739439746053e-02,1.460351934312335842e-01
2.864692376731585449e+12,2.310550962176746562e+14,2.277508763661052188e+14,3.524322625133576720e-02,1.489965940082547124e-01,2.211187554206139438e+01,3.209109433447020501e+07,7.859394867219335334e-02,1.501842033498574369e-01
3.161791498818398926e+12,2.392897063836093750e+14,2.357633087782259375e+14,3.683856914480597433e-02,1.577165055229337864e-01,2.060724155749921493e+01,2.337242735518604517e+07,8.307010392589345149e-02,1.590816828068112587e-01
3.489702965386494629e+12,2.480166490650989688e+14,2.442438583765884062e+14,3.826866226853969238e-02,1.672414203546814804e-01,1.935595113802848033e+01,1.705145402072896436e+07,8.827025772741209364e-02,1.688146346752768812e-01
3.851622344856823730e+12,2.572999233148350312e+14,2.532526818440121875e+14,3.969235134528697334e-02,1.775713555073079319e-01,1.830895591505663944e+01,1.248635929183604196e+07,9.419632508887591793e-02,1.793866500267643216e-01
4.251076620143617188e+12,2.671703097690150625e+14,2.628173279840836250e+14,4.127371860632219475e-02,1.887277849603563595e-01,1.742462573417268246e+01,9.130870736596131697e+06,1.008428986530420512e-01,1.908235363703038867e-01
4.691958559868479492e+12,2.776111961364381562e+14,2.729191856583995000e+14,4.327362039822353623e-02,2.006504838016187620e-01,1.668633541698162404e+01,6.722384807093373500e+06,1.082905957020278698e-01,2.030677805987090578e-01
5.178564654235606445e+12,2.885214671530788125e+14,2.834579130713451250e+14,4.612856869324497011e-02,2.133672118876934476e-01,1.605582229008467365e+01,4.963261122586121783e+06,1.164404186058553142e-01,2.161525382455921906e-01
5.715636985261463867e+12,2.996904413096793750e+14,2.942278212324412500e+14,5.035187404786119897e-02,2.269244459244488810e-01,1.551025586879005758e+01,3.662389379905267153e+06,1.253025018662301537e-01,2.301294467725386594e-01
6.308409439393368164e+12,3.108550094721856250e+14,3.049736599287582500e+14,5.615012222865641001e-02,2.414062100603398542e-01,1.504814222200463014e+01,2.714705106708533596e+06,1.351881242603011068e-01,2.450915996478952585e-01
6.962658712869041016e+12,3.218580895736993750e+14,3.155433094301252500e+14,6.283029390245510604e-02,2.569424927689873406e-01,1.464119709566114835e+01,2.008741791195725789e+06,1.459891068795384217e-01,2.611798943230475567e-01
7.684760606875414062e+12,3.328205100129135000e+14,3.260518613784012500e+14,6.840992127508020715e-02,2.736829682218508419e-01,1.428472408262095961e+01,1.484010805224937620e+06,1.579550129290973048e-01,2.785570996731129845e-01
8.481752161115144531e+12,3.442352789370550625e+14,3.369695502007711875e+14,7.018922197236802940e-02,2.916641326947840840e-01,1.397048223772427455e+01,1.092548550701062661e+06,1.710950500188421763e-01,2.972709707253470279e-01
9.361400231286050781e+12,3.570235728188085000e+14,3.491717350279770625e+14,6.629385812354220142e-02,3.109073744789867533e-01,1.370156665897218673e+01,8.067043395097991452e+05,1.856860124128095202e-01,3.173541478782757053e-01
1.033227717877584375e+13,3.722517968461990000e+14,3.636654594465969375e+14,6.199765890141293451e-02,3.311628288725790292e-01,1.346909179583417782e+01,5.973570483196941204e+05,2.014223405781278287e-01,3.385555801729944747e-01
1.140384441018458594e+13,3.918453609028271250e+14,3.822633294026432500e+14,5.328539979560651535e-02,3.518437154128485345e-01,1.326939035618263851e+01,4.472378077265202883e+05,2.177120191679546846e-01,3.602690490835028236e-01
1.258654458078580469e+13,4.045862465221942500e+14,3.943288209794849375e+14,4.036383996065705526e-01,3.729744099367264254e-01,1.309526967208647008e+01,3.372927959342238610e+05,2.345471504537573748e-01,3.825236090676735756e-01
1.389190336046896875e+13,4.067522081806680000e+14,3.963732714795243750e+14,6.961226739889029291e-01,3.972090604716022599e-01,1.293155225837727862e+01,2.490971954587340588e+05,2.544038788691652120e-01,4.081346463328012208e-01
1.533264175389434570e+13,4.086711770560426250e+14,3.981785465144554375e+14,8.692555066747322812e-01,4.258898547644999755e-01,1.278441985052004348e+01,1.788348934049626696e+05,2.791393789033325690e-01,4.385627463642802759e-01
1.692280006944476758e+13,4.103648646437652500e+14,3.997661291381674375e+14,9.684628216612037876e-01,4.594173723847170820e-01,1.266213958420405206e+01,1.257482617080428172e+05,3.098143541980504789e-01,4.742955351118295915e-01
1.867787474507853516e+13,4.121722039478847500e+14,4.014535618748581250e+14,9.306250368804297457e-01,4.981308133601182742e-01,1.256953154808483220e+01,8.687431707400370215e+04,3.475321021645308983e-01,5.157711764113690478e-01
2.061496936448110156e+13,4.152581233785787500e+14,4.043213276661930625e+14,4.496120268977507051e-01,5.421977928184780193e-01,1.250940674006728948e+01,5.933712944160684856e+04,3.933654019002792990e-01,5.632635937275055626e-01
2.275296133520074219e+13,4.193420187662880000e+14,4.081017315625655000e+14,8.083375272686912361e-01,5.912285293304745393e-01,1.248101187686394553e+01,4.040594071162564796e+04,4.477922177210902910e-01,6.164529154195270699e-01
2.511268585308280469e+13,4.221178858637503125e+14,4.106570937055770000e+14,7.249816196810372482e-01,6.458580034428160754e-01,1.248222314698101165e+01,2.735511637706914917e+04,5.125460506584390563e-01,6.761452524847454404e-01
2.771713894577587891e+13,4.297689992036684375e+14,4.176567611637425000e+14,2.149745148776244508e-01,7.056954233267312970e-01,1.251161005619363742e+01,1.855095520715889143e+04,5.885472524944693751e-01,7.420463116544031568e-01
3.059170157401294922e+13,4.468761495860555625e+14,4.332264896959043750e+14,2.097594319646529371e-01,7.669927088433490248e-01,1.255643376947061185e+01,1.284536055565864444e+04,6.705823474373113768e-01,8.101153579766308122e-01
3.376438697458321484e+13,4.579778536555808125e+14,4.432704411401252500e+14,3.327220642576034781e-01,8.293725380357881427e-01,1.261136720332166128e+01,9.064729345977431876e+03,7.584998783934316924e-01,8.799739009861206052e-01
3.726611365540520312e+13,4.721799980487880625e+14,4.560216125034668125e+14,1.930923539276123702e-01,8.945314489589230034e-01,1.267247495308974159e+01,6.427518835170541024e+03,8.542187847183592142e-01,9.535829529319925779e-01
4.113100670309794531e+13,4.911714214172550625e+14,4.729632748187843750e+14,2.888498971949844396e-01,9.594790169248779144e-01,1.273526087484652969e+01,4.650128799954083661e+03,9.537033264525278664e-01,1.027609077362072743e+00
4.539673033935777344e+13,5.024906692671737500e+14,4.829848134546420625e+14,4.697043562078276335e-01,1.026360879222401712e+00,1.279849922322467570e+01,3.378880447185146750e+03,1.059558023201661703e+00,1.104539032896804995e+00
5.010485496697419531e+13,5.103607076400757500e+14,4.898964225995564375e+14,8.123388209621413836e-01,1.097204046963135893e+00,1.286581772699195092e+01,2.453854781828803880e+03,1.176274045156860293e+00,1.186818377378061617e+00
5.530126228242884375e+13,5.160463915571564375e+14,4.948440505226586250e+14,9.548393208137099242e-01,1.173643351193269346e+00,1.294016824308171465e+01,1.770731473572978985e+03,1.308019527963894202e+00,1.276521763736918835e+00
6.103659240298721094e+13,5.219564139029280625e+14,4.999374811977169375e+14,9.838987439145643332e-01,1.255686021072771608e+00,1.302163875238534807e+01,1.269252490391662377e+03,1.456428723050314122e+00,1.373883066580700696e+00
6.736673736563346875e+13,5.283676835759211250e+14,5.054059440616962500e+14,9.822250381032980870e-01,1.343105157013666728e+00,1.311053708847675026e+01,9.091846940553646164e+02,1.622990688114875901e+00,1.478900502845565956e+00
7.435338580710345312e+13,5.357291315431164375e+14,5.116146097062508125e+14,8.723267295115060271e-01,1.435213976065326191e+00,1.320494272336457087e+01,6.506384910006595419e+02,1.807859708217791184e+00,1.590988209019640109e+00
8.206462413304059375e+13,5.459412342111006875e+14,5.201235365811744375e+14,7.583124072556515216e-01,1.530717627763517497e+00,1.330252622173905230e+01,4.686910690600261660e+02,2.009669131474410175e+00,1.708821206153205097e+00
9.057560003479801562e+13,5.557892249203185000e+14,5.282268052765979375e+14,9.055785119592745236e-01,1.628190198820734125e+00,1.339932917195616646e+01,3.396269580123738479e+02,2.225602693416134148e+00,1.830825695159674193e+00
9.996925482000298438e+13,5.721634542041327500e+14,5.414866055331736875e+14,3.543949849535935059e-01,1.726952060863412575e+00,1.349408565921578251e+01,2.479985578215000430e+02,2.454761663181115328e+00,1.956302184434252300e+00
1.024661134337771562e+14,5.870088637646487500e+14,5.534253352130916875e+14,1.665897161594178943e-01,1.750749167865465417e+00,1.351604294601819767e+01,2.301729714971193914e+02,2.511374696019107677e+00,1.986819196628642814e+00
1.050253342502945938e+14,6.291158290332635000e+14,5.871329164740676250e+14,7.865825298492656881e-02,1.771569297846842472e+00,1.353378527443415180e+01,2.158613383520214484e+02,2.560669528538431106e+00,2.013607252767643629e+00
1.076484748444654375e+14,7.060975882443473750e+14,6.485346096078607500e+14,3.702276018740390667e-02,1.786996323353869487e+00,1.354339838326162138e+01,2.047527183073310084e+02,2.595734889530806999e+00,2.033535138830347311e+00
1.103371316936037656e+14,8.133279883802885000e+14,7.338593194850810000e+14,2.567597651399107159e-02,1.797208114398261225e+00,1.354789715702253794e+01,1.977273031638947032e+02,2.618117234172115726e+00,2.046745390441829571e+00
1.159175804321471250e+14,1.016706640890078875e+15,8.950361822094560000e+14,7.683772269043318004e-02,1.803551419234224795e+00,1.353657514521772320e+01,1.913586434746520695e+02,2.624785670891078837e+00,2.054963193096465801e+00
1.217802678662729375e+14,1.081542149193972125e+15,9.462098569497442500e+14,4.249713325282188370e-01,1.803134042334631593e+00,1.351346767364008450e+01,1.882230720132365320e+02,2.612059555137442146e+00,2.054421244397865998e+00
1.344101791839574219e+14,1.100056112811440375e+15,9.607059641329875000e+14,8.953166021669521912e-01,1.797734780950178246e+00,1.343994963257711994e+01,1.813233309409906440e+02,2.564363897790721936e+00,2.047408938182412985e+00
1.483499468740037812e+14,1.117533461970919375e+15,9.742263681089127500e+14,6.795978593620247699e-01,1.793685920963295821e+00,1.334707498799356529e+01,1.707523534862125985e+02,2.511469229752525401e+00,2.042140814920985203e+00
1.637354169984358125e+14,1.142818467249920500e+15,9.935682325321618750e+14,6.708601991064324643e-01,1.792540011268038080e+00,1.323849955571569836e+01,1.575127665094709073e+02,2.457241802153439458e+00,2.040651179299288742e+00
1.807165243033168125e+14,1.163331664038030750e+15,1.009075265229456875e+15,9.545451199114096674e-01,1.794525016160162467e+00,1.311998045969784776e+01,1.422746434090902881e+02,2.406666674135956807e+00,2.043234775577686513e+00
1.994587533653965312e+14,1.183162134930157500e+15,1.023858693942618875e+15,8.531398119674517000e-01,1.800494301223151572e+00,1.299254207686243845e+01,1.258706797178865315e+02,2.361542774566905312e+00,2.051055525319454897e+00
2.201447512752319062e+14,1.220130682649178250e+15,1.051000378563359625e+15,4.308417416741638917e-01,1.810434561010372034e+00,1.286111788281451318e+01,1.093362304867481356e+02,2.323956161525749575e+00,2.064154839108401251e+00
2.429761075727320625e+14,1.265095718930706000e+15,1.083592144093699875e+15,7.748971416192113049e-01,1.822663248068145059e+00,1.272869925746783082e+01,9.410435328842166314e+01,2.291906192938517606e+00,2.080360782790747542e+00
2.681753187809845000e+14,1.292714438191798000e+15,1.103280579929735875e+15,9.579991627618554828e-01,1.837437130489057546e+00,1.259318988104017301e+01,7.984891750277472511e+01,2.264967390013184811e+00,2.100039168045918725e+00
2.959879566831683125e+14,1.324009590202988250e+15,1.125198964795032000e+15,7.685986225037855224e-01,1.855530584530379556e+00,1.245640425615037827e+01,6.689933005614329886e+01,2.245205963642875169e+00,2.124375364545847411e+00
3.266850614728875000e+14,1.372277364699770750e+15,1.158398873439532500e+15,5.798362884003251949e-01,1.876048679768004046e+00,1.232109103763823477e+01,5.565672993580592021e+01,2.232164911148514008e+00,2.152131536730282235e+00
3.605657830996926875e+14,1.437636706915545500e+15,1.202511290386537000e+15,4.758741002646644236e-01,1.897182165866293513e+00,1.218991779052879210e+01,4.624630425739077566e+01,2.223483806821644926e+00,2.181016644711871066e+00
3.979602965502735000e+14,1.509385623233251500e+15,1.250032077736748250e+15,5.934878144495935315e-01,1.917445660289707199e+00,1.206095691798617686e+01,3.864602440770680403e+01,2.214285721539915208e+00,2.208989339735348167e+00
4.392330194753753750e+14,1.574739124057683750e+15,1.292424441459268000e+15,7.279036607903099920e-01,1.936446673422712816e+00,1.193307449799114472e+01,3.235828854103770169e+01,2.204765777448602471e+00,2.235438345698040230e+00
4.847861635189116875e+14,1.626963475699611750e+15,1.325587319056537000e+15,9.658990897922863361e-01,1.955221157517989194e+00,1.180403131630646918e+01,2.715732961442513016e+01,2.195066531017360933e+00,2.261828324947254387e+00
5.350636539577388125e+14,1.679452798757150250e+15,1.358145921828736500e+15,8.704742778358092181e-01,1.974060694883347900e+00,1.167447306060116219e+01,2.266688095299394590e+01,2.186612510509839513e+00,2.288580837611139618e+00
5.905554558498418750e+14,1.824529319351186750e+15,1.445707944657019750e+15,2.052086904581065241e-01,1.992100370560227152e+00,1.154893784797333112e+01,1.904486021541552887e+01,2.179452342051179325e+00,2.314424776445826559e+00
6.518023488501808750e+14,2.241774645941844750e+15,1.692660030941467250e+15,2.413275828334469075e-01,2.000692762768297328e+00,1.144223142546196748e+01,1.682086250659768467e+01,2.160079249963300807e+00,2.326865619413721387e+00
7.194011972258143750e+14,2.413280689586056000e+15,1.792070540380883750e+15,5.892703325633154021e-01,2.000160754465168278e+00,1.133876793208635725e+01,1.535453677060847610e+01,2.124654211410327509e+00,2.326077875217787749e+00
7.940107664277428750e+14,2.559594091880143000e+15,1.874702134048462500e+15,4.059904713459300263e-01,1.995737713728549245e+00,1.122461133625028928e+01,1.403198648162712558e+01,2.078987169676388636e+00,2.319614117580962365e+00
8.763581429032253750e+14,2.755751504147933500e+15,1.983169847964992250e+15,5.964314338188774212e-01,1.988562396721243353e+00,1.110617469840679661e+01,1.295903860219919679e+01,2.027853866478006584e+00,2.309099766769868278e+00
9.672458197110358750e+14,2.884651737786340500e+15,2.052713162465251500e+15,6.737622264139868644e-01,1.978639721225956993e+00,1.098133460580403131e+01,1.195042139713828178e+01,1.970918206394759009e+00,2.294449887481470718e+00
1.067559516990516875e+15,3.167723188213527500e+15,2.201122946074112250e+15,2.160267121667939771e-01,1.967355430876962519e+00,1.085301934260361989e+01,1.105300412905432417e+01,1.911964083295168759e+00,2.277791027816576275e+00
1.121552774459391000e+15,3.662927741215184500e+15,2.456772124239607000e+15,7.848633271263855127e-02,1.961249046694823805e+00,1.079654934103301755e+01,1.071534003815422587e+01,1.884417533010633417e+00,2.268721762114881191e+00
1.178276813496601750e+15,4.797054574483207000e+15,3.035241657403810000e+15,4.832892255406789905e-02,1.955219564833071022e+00,1.075774062037841183e+01,1.057746019494243583e+01,1.862257705253659301e+00,2.259775859789351138e+00
1.237869747050386750e+15,6.021150625057439000e+15,3.654540341530339500e+15,6.879082817918916182e-02,1.948909451739001097e+00,1.073379697048948245e+01,1.059048885682314456e+01,1.843816533134132296e+00,2.250418480688011869e+00
1.300476673316976750e+15,6.715616879917027000e+15,4.002747137448051500e+15,1.126045864687410525e-01,1.942261173186954792e+00,1.071692905684725972e+01,1.064150930263386030e+01,1.827121082166385913e+00,2.240554459757674977e+00
1.435349960611327000e+15,8.787200816148402000e+15,5.026238418803223000e+15,3.856494052380894655e-02,1.927260132436654061e+00,1.068633066222678885e+01,1.096354844263420958e+01,1.790849830560033773e+00,2.218394274117331477e+00
1.584211044841078500e+15,2.718833176358800800e+16,1.399999999999992400e+16,5.135882335079932151e-03,1.922053269847741941e+00,1.068390000307443444e+01,1.116187748083658882e+01,1.780640119449473202e+00,2.210697871072816678e+00
